"name", "gender", "age", "zipcode"
Raphael Kleiner,male,65,1170
Laura Keusch,female,58,1162
Noemie Heitz,female,76,1170
Charlotte Karle,female,64,1000
Adem Neff,male,72,1162
Amy Kubly,female,42,1170
Oceane Joos,female,36,1182
Steven Ramseier,male,58,1197
Bruno Loosli,male,37,1070
Philippe Karle,male,27,1162
Jerome Henggeler,male,42,1032
Marie Grossenbacher,female,27,1040
Julie Gsell,female,59,1015
Bruce Klausner,male,77,1132
Matthias Rais,male,20,1182
Nick Ottmar,male,37,1015
Uenal Lichty,male,34,1115
Badou Pedroni,male,49,1170
Stephanie Kleiner,female,48,1162
Lena Honsberger,female,47,1197
Ives Gremminger,male,50,1066
THOMSON Ramp,male,72,1197
Amelie Merkel,female,60,1197
Ryan Hopler,male,79,1132
Leila Kuechler,female,26,1182
Suzanne Gottstein,female,70,1135
Natacha Grossen,female,63,1135
Samantha Jenny,female,36,1073
Boris Isch,male,44,1040
Fiona Marty,female,52,1040
Chet Kingery,male,29,1032
Alex Kumm,male,69,1182
Samuel Loewy,male,28,1073
Joao Kerlin,male,46,1170
Maude Kuser,female,74,1052
Patricia Gottstein,female,74,1147
Sophie Raisch,female,79,1147
David Greninger,male,48,1147
Fanny Plapp,female,60,1032
Fiona Grogg,female,68,1040
Julia Kibler,female,54,1052
Camille Grieder,female,34,1066
olivia Heidecker,female,71,1162
Fabienne Isely,female,57,1169
David Kueny,male,74,1032
William/Guillaume Haldiman,male,66,1000
Gaelle Haller,female,71,1135
Melanie Kenagy,female,45,1015
Kevin Krieger,male,51,1066
Filander Kuper,male,56,1028
Zoe Lori,female,68,1070
Denise Peachey,female,55,1028
Sven Grossenbacher,male,23,1040
Kelly Mylin,female,30,1115
Philippe Hilfiker,male,24,1015
Mathieu Karle,male,76,1032
Caroline Hauenstein,female,37,1052
Roland Nestle,male,42,1040
Valerie Kult,female,22,1169
Lina Hauri,female,46,1110
Aline Oberly,female,67,1110
Alexia Haab,female,42,1115
Yasmina Krieg,female,46,1073
Laura Mosman,female,70,1182
Celine Oppliger,female,26,1095
Eva Obrist,female,62,1070
Nina Plapp,female,51,1197
Sara Guyer,female,79,1182
Matthias Kronenberger,male,32,1073
salomon Kropf,male,57,1040
Ines Kohli,female,33,1135
Vishal Luthy,male,71,1040
Chet Knobel,male,33,1197
angelo tori Kingery,male,42,1070
Tim Rais,male,77,1070
Kafka Muhr,male,39,1040
laetitia Gurtner,female,41,1197
Caroline Orell,female,23,1028
Camille Lichti,female,46,1028
Lara Kreutzer,female,47,1040
Patricia Kienast,female,58,1073
Caroline Lauper,female,67,1073
Denis Leuzinger,male,48,1115
Michelle Mosiman,female,76,1052
ugo Oberlin,male,29,1073
Pierre Krieger,male,39,1110
Kate Kuenzi,female,66,1169
Jade Heffelfinger,female,50,1169
N1n() Koelliker,male,23,1147
Sarah Grimm,female,66,1052
Ismael Heglin,male,28,1000
Patricia Hirtzel,female,47,1162
Ives Peachey,male,39,1110
Cristian Guggisberg,male,20,1052
Lisa Harkleroad,female,34,1162
emilien Grimme,male,41,1170
Kate Isely,female,69,1066
Kate Grossenbacher,female,67,1197
Gaelle Mosman,female,30,1169
Eva Karle,female,78,1169
Michaela Muggli,female,28,1197
Laura Huffstetler,female,41,1132
Marco Niederhauser,male,29,1197
Jean-Baptiste Kuenzi,male,41,1015
Bruce Hunkler,male,32,1073
Joey Hegg,male,30,1040
Nana Niederberger,female,21,1147
Anais Loerch,female,41,1095
Delphine Kreutzer,female,32,1052
Ines Peachey,female,39,1182
Julien Krebs,male,55,1095
Guillaume Leuty,male,37,1162
Nadja Henggeler,female,55,1052
Philipp Isely,male,39,1115
Pierre Hostetter,male,42,1170
kilian Jacky,male,68,1182
Samantha Heidecker,female,57,1115
Ismael Hochstedler,male,68,1132
Stephanie Pedroni,female,26,1066
Lorenzo Morand,male,51,1170
Yonathan Mischler,male,42,1040
Emma Rais,female,73,1028
Kate Neff,female,66,1073
Lili Oester,female,54,1032
Steven Polt,male,50,1132
Sarah Grumbach,female,20,1147
Ivan Neeser,male,60,1070
Alex Pfister,male,67,1197
Ramy Haldiman,male,51,1182
Lukas Keel,male,24,1169
Joey Kenagy,male,45,1028
Lena Ingold,female,29,1197
Kate Leuty,female,43,1132
Morgane Kuser,female,50,1132
Bernhard Kamer,male,31,1066
Clement Gottstein,male,78,1032
Joao Jenny,male,49,1115
Lorenzo Marti,male,66,1028
Ryan Nestle,male,75,1110
Lea Oberle,female,51,1110
Noemie Gutknecht,female,44,1040
Ismael Kugler,male,60,1040
Giuliano Krieger,male,63,1015
Pierre-Yves Hochstrasser,male,55,1135
Bruce Hauenstein,male,65,1132
Fonzi Kult,male,24,1135
Tamara Hostetler,male,30,1015
Vishal Kropf,male,40,1000
Amelie Haener,female,68,1073
Philippe Muhr,male,44,1095
Valerie Hilty,female,25,1115
olivia Hostetter,female,74,1000
Stephanie Ilg,female,39,1132
Denise Gschwind,female,33,1073
Adem Laiche,male,63,1162
Tim Obert,male,42,1000
Andrea Matti,female,29,1066
Chris Hostetler,male,38,1052
Nina Grasser,female,58,1052
Chris Krehbiel,male,54,1135
Celine Kreutzer,female,54,1170
Lina Grasser,female,53,1110
Anais Kenagy,female,53,1115
Leo Hari,female,46,1182
Amy Niederberger,female,57,1110
Sofia Hum,female,39,1132
Eva Oesch,female,79,1110
Alexia Kensinger,female,70,1135
Shems Raisch,male,34,1170
Marine Hopler,female,35,1170
Kate Miesch,female,46,1015
Eva Harkleroad,female,73,1182
Fanny Naff,female,73,1066
Lucas Obrist,male,50,1095
Alex Hegg,male,48,1073
Leo Oblinger,female,72,1182
Nina Kugler,female,23,1040
Luzern Kuper,male,44,1169
Fiona Klay,female,45,1169
Tharsh Miller,male,65,1162
Denise Matti,female,29,1147
emilien Oberly,male,79,1147
Pauline Jauch,female,70,1132
Fiona Franchi,female,58,1147
Sophie Langel,female,29,1132
emilien Hunkler,male,72,1073
Nina Loewy,female,47,1169
Samuel Lori,male,65,1110
Uenal Kensinger,male,67,1135
Tamara Hauenstein,male,49,1110
Julie Ilg,female,65,1169
yohan Grunder,male,57,1147
Jessica Ladnier,female,26,1070
Kafka Kueny,male,37,1000
Joao Karlen,male,28,1115
Sabrina Kundinger,female,48,1147
Eva Pulfer,female,42,1015
Patrik Hochstetler,male,69,1147
emilien Marthaler,male,34,1066
Lisa Niederhauser,female,33,1197
Lara Karlen,female,22,1132
Joey Hegler,male,75,1040
Nana La,female,32,1052
Sandro Mast,male,23,1197
Sara Kinsinger,female,31,1135
salomon Niffenegger,male,30,1095
Bruce Ramseyer,male,38,1070
Anais Lory,female,79,1052
Lea Huggler,female,55,1115
Lauriane Kehrli,female,76,1110
Mathias Hilfiker,male,59,1052
Tiffany Kuenzli,female,34,1115
Didier Karlen,male,57,1162
Charlotte Kundert,female,56,1170
Oceane Mosher,female,73,1169
Ismael Gray,male,24,1182
Pierre Klay,male,60,1197
Anais Mischler,female,63,1110
Maude Kasser,female,65,1132
Florian Gull,male,65,1000
Nina Grumbach,female,45,1110
Luisa Inabinett,female,31,1110
Nadja Mischler,female,62,1028
